datetime,count,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset,day
2020-01-15,54251,1579064400,10.0,5.6,7.8,10.0,3.8,6.4,1.3,66.2,0.0,,0.0,,0.0,0.0,33.5,18.8,257.0,1020.3,27.7,13.6,261.8,9.4,5.0,07:18:16,1579090696,16:52:38,1579125158,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,15
2020-01-16,45247,1579150800,9.0,1.7,6.3,6.8,-3.3,3.1,-0.6,63.69,2.48,,29.17,,0.0,0.0,64.3,30.7,263.0,1014.4,54.1,12.6,171.5,6.2,3.0,07:17:51,1579177071,16:53:45,1579211625,0.69,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,16
2020-01-17,34122,1579237200,1.2,-5.6,-3.1,-4.5,-14.1,-9.0,-16.5,36.0,0.0,,0.0,,0.0,0.0,63.0,34.0,313.4,1034.0,9.5,15.7,291.3,10.5,5.0,07:17:23,1579263443,16:54:54,1579298094,0.75,Clear,Clear conditions throughout the day.,wind,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,17
2020-01-18,13301,1579323600,2.8,-6.6,-3.3,-0.8,-12.0,-6.2,-10.7,59.98,8.13,,41.67,,1.88,1.87,40.7,25.2,197.5,1027.7,61.4,11.9,77.6,2.8,2.0,07:16:54,1579349814,16:56:03,1579384563,0.81,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,18
2020-01-19,25935,1579410000,5.8,-0.6,3.3,2.8,-6.1,-0.4,-3.8,62.09,0.0,,0.0,,1.16,3.04,45.3,23.5,272.8,1008.1,49.9,15.3,243.9,8.8,5.0,07:16:23,1579436183,16:57:13,1579471033,0.86,Partially cloudy,Becoming cloudy in the afternoon.,snow,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,19
2020-01-20,24230,1579496400,-0.6,-6.6,-3.7,-4.4,-12.6,-8.7,-15.9,39.85,0.0,,0.0,,2.88,2.88,47.8,23.2,317.6,1023.5,4.1,16.0,303.0,10.9,5.0,07:15:49,1579522549,16:58:23,1579557503,0.91,Clear,Clear conditions throughout the day.,snow,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,20
2020-01-21,37399,1579582800,0.0,-6.8,-3.5,-2.1,-13.0,-6.5,-13.9,45.51,0.0,,0.0,,0.0,1.0,27.7,20.6,318.8,1030.2,3.5,16.0,272.4,9.8,5.0,07:15:13,1579608913,16:59:34,1579643974,0.95,Clear,Clear conditions throughout the day.,clear-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,21
2020-01-22,43415,1579669200,3.7,-3.4,-0.2,2.9,-6.6,-1.5,-9.6,49.58,0.0,,0.0,,0.0,0.0,,7.9,194.1,1030.6,2.8,16.0,265.1,10.5,5.0,07:14:36,1579695276,17:00:46,1579730446,0.98,Clear,Clear conditions throughout the day.,clear-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,22
2020-01-23,48258,1579755600,8.0,0.3,4.3,8.0,-1.5,3.1,-7.8,42.51,0.0,,0.0,,0.0,0.0,,12.2,189.0,1028.6,8.1,15.9,196.5,7.8,4.0,07:13:56,1579781636,17:01:58,1579816918,0.99,Clear,Clear conditions throughout the day.,clear-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,23
2020-01-24,51334,1579842000,9.8,2.9,6.1,7.7,0.7,4.4,-4.4,48.79,0.0,,0.0,,0.0,0.0,,15.9,42.1,1027.0,7.3,15.1,241.5,9.6,5.0,07:13:14,1579867994,17:03:10,1579903390,1.0,Clear,Clear conditions throughout the day.,clear-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,24
